,item,item_index,count,responses,rt,age,trial_type,rating
11235,Arab induction,11235,6,[-3  1  2 -3 -3 -1],3045.8333333333335,41.166666666666664,crit,-1.1666666666666667
6896,Arab jazz,6896,11,[ 1  1  1 -2  0  2 -2 -3  3  3 -1],3498.2727272727275,31.454545454545453,crit,0.2727272727272727
6188,Arab leisure,6188,6,[-2 -3 -3 -1 -2 -2],4872.166666666667,39.0,crit,-2.1666666666666665
9424,Arab lifetime,9424,12,[ 3 -2  0  0  3  2  3  3  3 -3  3  2],3265.0,33.583333333333336,crit,1.4166666666666667
8575,Arab monitoring,8575,11,[ 0 -2 -3  0  1  0  3 -3 -2 -3 -1],5654.818181818182,29.727272727272727,crit,-0.9090909090909091
18772,Arab motorway,18772,6,[-2  1  1  3  2  1],5735.666666666667,28.0,crit,1.0
19514,Arab planner,19514,8,[ 0 -1  2 -2 -3  2 -1  3],3077.0,38.375,crit,0.0
17586,Arab procession,17586,10,[ 0  1 -1 -3 -3  1  2  3  3  3],5139.1,32.5,crit,0.6
8760,Arab reunion,8760,10,[ 1  1  1  1  3  2  3  2  3 -3],3562.5,37.5,crit,1.4
7905,Arab row,7905,11,[-3 -3 -3 -1 -3  1 -3 -3 -2  1 -3],4948.545454545455,34.54545454545455,crit,-2.0
7827,Arab sanctuary,7827,9,[-3  2  2  0  3 -3  3  0  1],3265.5555555555557,38.77777777777778,crit,0.5555555555555556
2103,Arab sink,2103,12,[-3 -1 -3  1  1  3  2 -1 -1  2 -3  1],4895.083333333333,32.083333333333336,crit,-0.16666666666666666
15873,Arab spreadsheet,15873,10,[-3 -2  0 -3  3  0 -2 -3  2 -1],3784.6,38.9,crit,-0.9
15634,Arab theology,15634,11,[ 2  3 -3  3  2  2  3 -3  3  3  2],4051.7272727272725,38.72727272727273,crit,1.5454545454545454
10887,Arab thread,10887,6,[ 3  0 -3  2 -3 -3],2802.6666666666665,38.0,crit,-0.6666666666666666
880,Arab towel,880,11,[-3  0  0  3  1  3  1  3  3  2  1],4431.0,30.181818181818183,crit,1.2727272727272727
11150,Arab vampire,11150,14,[-3  2  3  1  1  2  2  2  0  2  1  2 -3 -3],4359.571428571428,40.07142857142857,crit,0.6428571428571429
7345,Arab variable,7345,11,[-2 -3 -2 -1 -3 -1  1 -2 -2  1 -2],5183.181818181818,29.181818181818183,crit,-1.4545454545454546
13040,Arab variation,13040,10,[ 1  3  2 -2  2  0 -3  0 -1 -3],4150.0,32.6,crit,-0.1
15574,Arab vocalist,15574,9,[-3  3  3  3  2  2  3 -3  2],2831.4444444444443,33.333333333333336,crit,1.3333333333333333
15063,Arab voltage,15063,9,[-3 -1 -2 -1 -3 -3 -3 -2 -3],3894.5555555555557,41.22222222222222,crit,-2.3333333333333335
12763,Asian assistance,12763,12,[ 3  1  3  0  2  1  1  1  2 -2  3  0],4270.166666666667,38.416666666666664,crit,1.25
19748,Asian batch,19748,6,[ 3  2  1 -3 -1  3],8388.333333333334,41.333333333333336,crit,0.8333333333333334
3802,Asian bowel,3802,7,[ 3 -3  0 -2 -2  1 -2],3391.8571428571427,26.857142857142858,crit,-0.7142857142857143
